,document.id,user_id,business_id,stars,useful,funny,cool
29,29,zOU38EUHgUtEI4ziZ8DB1w,7GI_V9oLCUGdn2ogqB0IBg,5,1,1,0
30,30,hMZ3_yBErMi-pFcquyLJWg,7GI_V9oLCUGdn2ogqB0IBg,5,0,0,0
31,31,9sdni8QHrai8l7ikHsV5Jg,7GI_V9oLCUGdn2ogqB0IBg,1,0,1,0
32,32,PmgqNO0-5Y3e3UoR61TD7w,4P-vTvE6cncJyUyLh73pxw,4,0,0,0
33,33,kXUySHSlRgVrcR4Aa0HtGQ,4P-vTvE6cncJyUyLh73pxw,4,0,0,0
34,34,SYKPwRhnlKrW6yTvm7oPWg,4P-vTvE6cncJyUyLh73pxw,4,1,0,0
35,35,7LCG3o2KW2jgKgbKN0DQOg,4P-vTvE6cncJyUyLh73pxw,5,2,0,1
36,36,iSdSNh1hjdE33LOwrFnFrg,4P-vTvE6cncJyUyLh73pxw,4,0,0,0
37,37,catpxxLS6OF5cfjxLvpAbA,4P-vTvE6cncJyUyLh73pxw,5,0,0,1
38,38,Zmp1Q6Ul9VH3zL02Z5ls_A,4P-vTvE6cncJyUyLh73pxw,2,0,0,0
39,39,vzKgTUCV5Pz0gldaeM5j3g,4P-vTvE6cncJyUyLh73pxw,3,0,0,0
40,40,i8hCMZN-0bHENsHZKHpC-g,4P-vTvE6cncJyUyLh73pxw,4,7,7,6
41,41,OdTvOw8NKzaCcsj_dnRZSQ,4P-vTvE6cncJyUyLh73pxw,3,0,0,0
42,42,W4cfK8SxPloWtIXl3JST2g,4P-vTvE6cncJyUyLh73pxw,4,0,0,1
43,43,n5P4Cw7F1pCYwVutSTqUPg,4P-vTvE6cncJyUyLh73pxw,3,0,0,0
44,44,ub50UE95-gu7yIoed1zssA,4P-vTvE6cncJyUyLh73pxw,1,0,0,0
45,45,57w8gLY3f7OwGmWNtUIFIA,4P-vTvE6cncJyUyLh73pxw,1,1,0,0
46,46,RlpkcJqctkKXl-LO1IAtig,4P-vTvE6cncJyUyLh73pxw,3,0,0,0
47,47,m5iFZbW5hSNPNplx-vGkyA,4P-vTvE6cncJyUyLh73pxw,4,1,0,1
48,48,1-xPzJk_ijBvY2J8Re1DIQ,4P-vTvE6cncJyUyLh73pxw,3,0,2,0
49,49,oPQAJEiJnRrD0Km5RlKmtw,4P-vTvE6cncJyUyLh73pxw,5,0,0,0
50,50,bZBPVRIGQZ0WXRYLtYXbYQ,4P-vTvE6cncJyUyLh73pxw,2,2,1,1
51,51,fflaErtSIUWvHe3q0I3JAA,4P-vTvE6cncJyUyLh73pxw,2,0,0,0
52,52,BRO98wNeY2Q_BZX8G-iVvg,4P-vTvE6cncJyUyLh73pxw,4,1,0,0
53,53,qn7SAaO9Jwl2ls5c9Og2yA,4P-vTvE6cncJyUyLh73pxw,4,0,0,1
54,54,7phnWalwWR0LcV-4xGGFgg,4P-vTvE6cncJyUyLh73pxw,2,0,0,0
55,55,C0jquh-km5UnawqDqSQpBw,4uiijOUDzc-DeIb2XcKW_A,3,2,0,0
56,56,cPifBB7Qbjs9PntPGOY9iQ,4uiijOUDzc-DeIb2XcKW_A,3,1,1,1
57,57,pgTz-Ds6WvS8qFOsRekG9A,4uiijOUDzc-DeIb2XcKW_A,2,1,0,0
58,58,GDeoUHALgyqK13ewN92Jnw,4uiijOUDzc-DeIb2XcKW_A,4,2,1,2
59,59,d1sLYlfSzHo6WCpfe-j7zg,4uiijOUDzc-DeIb2XcKW_A,4,0,0,1
60,60,GABWrw5Et9jubriKwMUDbw,4uiijOUDzc-DeIb2XcKW_A,4,0,0,0
61,61,4ZecK0IVM-5_E5-wczXqZg,4uiijOUDzc-DeIb2XcKW_A,2,0,0,0
62,62,pRAPaBJ-MyO70-aVAX36Mg,4uiijOUDzc-DeIb2XcKW_A,2,0,0,0
63,63,lac5Nj5BOKhSJjEfT7oZxg,4uiijOUDzc-DeIb2XcKW_A,2,1,0,0
64,64,WI5CkCRbzcUdFAU941mdYA,4uiijOUDzc-DeIb2XcKW_A,4,0,0,0
65,65,YSFhFKYaotk5rE3VECcQxg,4uiijOUDzc-DeIb2XcKW_A,2,0,0,0
66,66,AbC6lu_5RrMgslQeocvzRg,4uiijOUDzc-DeIb2XcKW_A,1,0,0,0
67,67,PPCFx8NTgsELmNogzDjL0g,4uiijOUDzc-DeIb2XcKW_A,4,2,0,1
68,68,gq8dZgJConBUANpSFzKKjg,4uiijOUDzc-DeIb2XcKW_A,3,0,0,0
69,69,wDdh7cLIFK08KtJhj5q9uA,4uiijOUDzc-DeIb2XcKW_A,2,1,0,1
70,70,c3oKqsoDC9SDjJjP1LMARA,4uiijOUDzc-DeIb2XcKW_A,3,0,0,0
71,71,#NAME?,4uiijOUDzc-DeIb2XcKW_A,2,1,0,0
72,72,kEH9rD6yJbGYcvp9_2RKrQ,4uiijOUDzc-DeIb2XcKW_A,3,1,0,0
73,73,24hyqUROHABynDLYTUpqkQ,4uiijOUDzc-DeIb2XcKW_A,2,0,3,0
74,74,iUHPgpGXuJ-e8jXEhvK-AA,4uiijOUDzc-DeIb2XcKW_A,3,1,0,0
75,75,jIjC8F9Xiz7R5M-krH6OGg,4uiijOUDzc-DeIb2XcKW_A,1,0,0,0
76,76,HvquD8QalzpQlbXK-1KYlQ,4uiijOUDzc-DeIb2XcKW_A,2,0,0,0
77,77,3etKdarpGqQYpoLENXKt6A,4uiijOUDzc-DeIb2XcKW_A,4,0,0,0
78,78,53bZ_EsXH71L7iFs5MP9_w,4uiijOUDzc-DeIb2XcKW_A,2,2,0,0
79,79,NoEI3raAUBkZKZMczZVlaQ,4uiijOUDzc-DeIb2XcKW_A,2,0,0,0
80,80,PpTSDy5cQM25rqcI19yg0w,4uiijOUDzc-DeIb2XcKW_A,1,0,0,0
81,81,HgmpXWF_p1WfG_Kq90jUkg,4uiijOUDzc-DeIb2XcKW_A,2,0,0,0
82,82,YLgDEG9vFIiHo5e3K_g0hQ,4uiijOUDzc-DeIb2XcKW_A,2,0,0,0
83,83,WOGd8Xxq0ya99vp8YWmA8g,4uiijOUDzc-DeIb2XcKW_A,5,0,0,0
84,84,OuRxTH-PPuRzpmtWXkOavg,4uiijOUDzc-DeIb2XcKW_A,2,0,0,0
85,85,6gZBMMTC_47cDL_LDkr3ng,4uiijOUDzc-DeIb2XcKW_A,3,2,0,0
86,86,cUZw26_XQSpwX3gd9GVKtA,4uiijOUDzc-DeIb2XcKW_A,4,1,1,1
87,87,OpAfXeNL4kJA59PoUFU7ew,4uiijOUDzc-DeIb2XcKW_A,4,1,0,1
88,88,F75cB0AgEhc-mtM18B8EFw,4uiijOUDzc-DeIb2XcKW_A,1,0,0,0
89,89,E5glLZ1mCo10-zqq3Bj13w,4uiijOUDzc-DeIb2XcKW_A,2,1,0,0
90,90,GZuBQoHtz39pIDsNh4EQXA,5WoHYemsAjuK85AOcGwEJg,4,0,0,0
91,91,wU1V11JqKhsSptKMsnEDEg,5WoHYemsAjuK85AOcGwEJg,5,0,0,0
92,92,uZtSv8Rgi4-0BBvz4YbH9Q,5WoHYemsAjuK85AOcGwEJg,3,0,0,0
93,93,FCzzkuhMrQ-pWYDA_fPmkg,5WoHYemsAjuK85AOcGwEJg,5,0,0,0
94,94,LMhTti4tnUvPwON8yREDcg,5WoHYemsAjuK85AOcGwEJg,4,0,0,0
95,95,kKXjr2cCjPMQoX0OiB6XRA,5WoHYemsAjuK85AOcGwEJg,4,0,0,0
96,96,V1chaUDzuPh7zLZVfnqQxA,2cl9TETYE3CdzljPtdIbjA,5,0,0,0
97,97,zsV1V_8FZbVMzIMVF-J3Jw,2cl9TETYE3CdzljPtdIbjA,5,0,0,0
98,98,G8FR2qnN7CcdP8Q9snLhQg,2cl9TETYE3CdzljPtdIbjA,4,1,1,1
99,99,GQNeutlSdO8OfOUWNUas0Q,2cl9TETYE3CdzljPtdIbjA,5,0,0,0
100,100,3iq8oDotfNXL57CbqzaaAA,32S_SP-ZaVmQucdEY5ynlQ,1,8,1,1
101,101,Q7p9asYQzdmOJTxhqAGjlw,32S_SP-ZaVmQucdEY5ynlQ,4,1,2,0
102,102,p0RVQxuOSA2NV4Odv_kgWQ,32S_SP-ZaVmQucdEY5ynlQ,1,2,0,0
103,103,t3G62CIef9uoS7BNvI8eEQ,32S_SP-ZaVmQucdEY5ynlQ,1,2,0,0
104,104,Lj4aiPE5RRIn5m1zgKSIQQ,7HnlXTF9f29HOYfblGLIHQ,4,0,0,0
105,105,luxGSQ8kNf7Q00DyBrLCgw,7HnlXTF9f29HOYfblGLIHQ,4,1,0,0
106,106,6YPfM_xcWZM4GjBvGvL8Mg,7HnlXTF9f29HOYfblGLIHQ,4,1,0,1
107,107,segRkXhf1vSCnEi_aHnGdg,7HnlXTF9f29HOYfblGLIHQ,3,1,0,0
108,108,2bfpsTEAuAsY93ELDBVr_A,7HnlXTF9f29HOYfblGLIHQ,4,0,0,0
109,109,F7JUBrCarN8nvmm0JGeIcg,7HnlXTF9f29HOYfblGLIHQ,5,0,0,0
110,110,TZPsABv-sMnreTLwLsg9xg,7HnlXTF9f29HOYfblGLIHQ,4,0,0,0
111,111,4InQPZ5xc4rZMRxDGYdJZw,7HnlXTF9f29HOYfblGLIHQ,3,0,0,0
112,112,kDeeM6O6gABIAdFEUAcP8w,7HnlXTF9f29HOYfblGLIHQ,5,0,0,0
113,113,Q6f-wmLKk6kPIq648ybmbw,7HnlXTF9f29HOYfblGLIHQ,5,1,0,0
114,114,AzMAt7SteQQaVLBCiAGcyQ,7HnlXTF9f29HOYfblGLIHQ,5,0,0,0
115,115,Mvs4_S_Klo-aiR12keyAYQ,7HnlXTF9f29HOYfblGLIHQ,5,3,2,3
116,116,rdrbizbKmClF3M2t11XxFA,7HnlXTF9f29HOYfblGLIHQ,5,3,0,0
117,117,xve9Sb8bx1Aid0313rYUQQ,7HnlXTF9f29HOYfblGLIHQ,1,0,0,0
118,118,VRVCKQhYDCkzaEDce8GEtQ,-3pfhzz9CB7F2DpbF1Ko7Q,5,0,0,0
119,119,SxV1Jq7UANuSYpn42JXvOA,-3pfhzz9CB7F2DpbF1Ko7Q,1,0,0,0
120,120,soDF6mePh1SuNZI3rN7HPQ,-3pfhzz9CB7F2DpbF1Ko7Q,3,2,2,2
121,121,fJ_qSZH_akvWzHUPMqab1g,78iZO7fwyQ_Bhq63p4uXxA,5,3,4,1
122,122,7LrTn6cZpE8R1QUSePeGtQ,78iZO7fwyQ_Bhq63p4uXxA,5,2,0,0
123,123,eqr0FFABkLb01LK04S4WMg,78iZO7fwyQ_Bhq63p4uXxA,5,2,0,0
124,124,rGlI5Q6RGLRXIATUIZ3DhA,1Lbq92b6B9z1FYk5mS2R9Q,3,0,0,0
125,125,d0AFpcTSW9eEcMC8ZTAWIg,1Lbq92b6B9z1FYk5mS2R9Q,4,0,0,0
126,126,DMXxj2-GJxicjaE8S59qjA,1Lbq92b6B9z1FYk5mS2R9Q,3,0,0,0
127,127,0nqshyLgABOSyTfJUTthjQ,1Lbq92b6B9z1FYk5mS2R9Q,4,1,0,0
128,128,FIk4lQQu1eTe2EpzQ4xhBA,1Lbq92b6B9z1FYk5mS2R9Q,4,3,0,1
129,129,ufn1IPTJP7mRlmQP3a5dIQ,1Lbq92b6B9z1FYk5mS2R9Q,4,1,1,1
130,130,GKsdfCswGFDSfRmnBCFu5g,1Lbq92b6B9z1FYk5mS2R9Q,5,0,0,0
131,131,xSt--5JG6QqTEOwXJj_pRw,1Lbq92b6B9z1FYk5mS2R9Q,3,0,0,0
132,132,u9w4LOoKYsM00Scb0HCH1w,1Lbq92b6B9z1FYk5mS2R9Q,4,1,0,2
133,133,wOGfOjBaP-lCS1NW_En2LQ,1Lbq92b6B9z1FYk5mS2R9Q,4,7,4,5
134,134,N3oNEwh0qgPqPP3Em6wJXw,1Lbq92b6B9z1FYk5mS2R9Q,4,3,2,2
135,135,jS9jQc4SylqAUbxfrb1wDQ,1Lbq92b6B9z1FYk5mS2R9Q,4,1,0,0
136,136,qF1V8GyuLL5Fpv40Cyturw,1Lbq92b6B9z1FYk5mS2R9Q,2,1,0,1
137,137,uXtwBP1P00dN7KnJw1RySg,1Lbq92b6B9z1FYk5mS2R9Q,1,0,2,1
138,138,5wRCMyU9dEdkja_mO0qfeQ,1Lbq92b6B9z1FYk5mS2R9Q,3,1,0,0
139,139,qbq4zC9SrZuaQ4-J-wtRuw,1Lbq92b6B9z1FYk5mS2R9Q,4,0,0,0
140,140,83Bgz9gPxmJEYBOVKWXH2A,1Lbq92b6B9z1FYk5mS2R9Q,3,2,0,1
141,141,nTUabhEoWmMzdQqgWvNItg,1Lbq92b6B9z1FYk5mS2R9Q,5,0,0,0
142,142,UYcmGbelzRa0Q6JqzLoguw,1Lbq92b6B9z1FYk5mS2R9Q,4,6,3,6
143,143,a8VG32wM3BTKNOlkgS38Sg,1Lbq92b6B9z1FYk5mS2R9Q,4,0,0,0
144,144,m-BZLIIh5PCAKnzH0qj_0Q,1Lbq92b6B9z1FYk5mS2R9Q,4,1,1,1
145,145,U0pUOShL5PhtCMjqSDHDWw,1Lbq92b6B9z1FYk5mS2R9Q,5,3,0,2
146,146,kmE8w5Y785eZmodsx0V6Ag,1Lbq92b6B9z1FYk5mS2R9Q,4,4,2,5
147,147,deL6e_z9xqZTIODKqnvRXQ,1Lbq92b6B9z1FYk5mS2R9Q,4,6,2,7
148,148,xNKjIktegMyHVSXFznJTRg,1Lbq92b6B9z1FYk5mS2R9Q,1,0,1,0
149,149,q6uNOuHAPaMjDHHRJCl-8Q,1Lbq92b6B9z1FYk5mS2R9Q,4,1,0,1
150,150,2WniIUDY7MqU1rNL1nwolQ,1Lbq92b6B9z1FYk5mS2R9Q,4,2,0,2
151,151,XLNaiWF21OsAf0fMV6kuSg,1Lbq92b6B9z1FYk5mS2R9Q,4,2,0,1
152,152,6rCP95GtOyYnXHzNYmsiNg,1Lbq92b6B9z1FYk5mS2R9Q,4,0,0,0
153,153,4wpV4DZlNxQ2xG_O3Y9lSg,1Lbq92b6B9z1FYk5mS2R9Q,4,1,0,0
154,154,N044aCKJv3G5WuvwT5AJcA,1Lbq92b6B9z1FYk5mS2R9Q,3,0,0,0
155,155,Io5GxWjhtxqiWnoA-6Fh-w,1Lbq92b6B9z1FYk5mS2R9Q,5,0,0,0
156,156,ltX3MWLQybLDsbcerIt9EA,1Lbq92b6B9z1FYk5mS2R9Q,5,0,0,0
157,157,r7g1KCXjnymaFNkH1WLuDQ,1Lbq92b6B9z1FYk5mS2R9Q,3,1,0,1
158,158,#NAME?,1Lbq92b6B9z1FYk5mS2R9Q,4,0,0,0
159,159,z5_78RvewqSDKS_x6JaM9w,1Lbq92b6B9z1FYk5mS2R9Q,2,0,1,0
160,160,MsZutzmEM_6wgCB1TjD09w,1Lbq92b6B9z1FYk5mS2R9Q,4,0,0,0
161,161,5Fc4367gM1G8JCd9l20DuQ,1Lbq92b6B9z1FYk5mS2R9Q,1,0,0,0
162,162,myql3o3x22_ygECb8gVo7A,1Lbq92b6B9z1FYk5mS2R9Q,5,5,2,3
163,163,eNI-HBdpILxdmLErVxpyCg,1Lbq92b6B9z1FYk5mS2R9Q,5,0,0,0
164,164,r-kpr-POrNhzbbOYa2J_QQ,1Lbq92b6B9z1FYk5mS2R9Q,2,0,0,0
165,165,pI1mlfKEb8dbhuOuEKj4fA,1Lbq92b6B9z1FYk5mS2R9Q,2,0,0,0
166,166,erdvrYG2b-YkTfZljgrXIg,1Lbq92b6B9z1FYk5mS2R9Q,5,1,1,1
167,167,9-29omBZ5o3GV90o-edStg,1Lbq92b6B9z1FYk5mS2R9Q,5,0,0,0
168,168,KnPrhgAtSuUEA4PYSLFDVg,1Lbq92b6B9z1FYk5mS2R9Q,2,0,0,0
169,169,QJI9OSEn6ujRCtrX06vs1w,1Lbq92b6B9z1FYk5mS2R9Q,2,10,5,6
170,170,I9ij14zrH2KmmUrm9Vnjhg,1Lbq92b6B9z1FYk5mS2R9Q,4,0,0,0
171,171,U0bFgAe0KKUpagsnvddX1g,1Lbq92b6B9z1FYk5mS2R9Q,3,0,0,0
172,172,1RCo1B8YVPtzRDTrm3AyDw,1Lbq92b6B9z1FYk5mS2R9Q,4,0,0,0
173,173,VeYSD3Xgxd-R4yowet51tA,1Lbq92b6B9z1FYk5mS2R9Q,3,2,1,1
174,174,fcMH8X5FGRTuTJZ42XpZ3Q,1Lbq92b6B9z1FYk5mS2R9Q,5,0,0,0
175,175,tO8C0fsWJ_ylxNCQlITAPg,1Lbq92b6B9z1FYk5mS2R9Q,3,0,0,0
176,176,gjZmpzgMcQvBWQFviWu71A,1Lbq92b6B9z1FYk5mS2R9Q,2,0,0,0
177,177,fqjuy7iAJSn5hcvl_8mOQg,1Lbq92b6B9z1FYk5mS2R9Q,2,0,0,0
178,178,JqP9_2Ky-X1MRro0pBPPNQ,1Lbq92b6B9z1FYk5mS2R9Q,4,1,1,0
179,179,JbIgJ46QTSQUmtX6l07ZDg,3Phhm4suJ-9fVakKXJSMxg,3,0,0,0
180,180,pMefTWo6gMdx8WhYSA2u3w,3Phhm4suJ-9fVakKXJSMxg,3,6,4,4
181,181,U5YQX_vMl_xQy8EQDqlNQQ,3Phhm4suJ-9fVakKXJSMxg,2,1,0,0
182,182,16NsDmuRLHNa5oswow8sug,3Phhm4suJ-9fVakKXJSMxg,4,0,0,0
183,183,fcfFXPoxpLHvR98cvf618A,3Phhm4suJ-9fVakKXJSMxg,3,0,0,0
184,184,KDGywMWT8L1oy6pOrWtFpQ,3Phhm4suJ-9fVakKXJSMxg,3,0,0,0
185,185,2QhYG5gwEReX7qC_EE7jaA,0BJK4_RQnNiiXJcYPEgG3w,4,3,2,2
186,186,puKCWAzXbY4QfpMBOkVEKg,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
187,187,MdjsjgFRXf1g5nIxSL-1zQ,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
188,188,goyBp2yzRfBRzfRVKy9t9Q,0BJK4_RQnNiiXJcYPEgG3w,2,0,1,0
189,189,X5whw8WcB8dVZGZ5vGnSLg,0BJK4_RQnNiiXJcYPEgG3w,3,2,0,0
190,190,yt5fggA4287LXCN84i--QA,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
191,191,ltg5Pgd5x7K7zpYtXxMPZA,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
192,192,d5n7WXQkyESc_mOgyC_Exw,0BJK4_RQnNiiXJcYPEgG3w,4,1,0,2
193,193,xgHuIzDbuuSxsn9KBYFKkg,0BJK4_RQnNiiXJcYPEgG3w,5,2,0,2
194,194,rWGA6f5boGNr9ooE-_O37A,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
195,195,oh2J59Y1sVdmySZ_Q93ebQ,0BJK4_RQnNiiXJcYPEgG3w,4,2,0,1
196,196,9xOaLYIDsAb-qJmhSIhfrA,0BJK4_RQnNiiXJcYPEgG3w,5,1,0,0
197,197,xu5zG3uwxAnlJsE9Fojs9Q,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
198,198,GERRIWMslcP4-O6mLErPSQ,0BJK4_RQnNiiXJcYPEgG3w,2,3,2,0
199,199,ER_7MpSCAYYkltSEXA9JmQ,0BJK4_RQnNiiXJcYPEgG3w,3,1,0,0
200,200,mrru6hbeQLvagU4vkfuqmw,0BJK4_RQnNiiXJcYPEgG3w,4,3,0,0
201,201,P8WNbVV_iDGkKfBKl0zHmQ,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
202,202,MQq_1AlcDWsyNs7Ot8J4OQ,0BJK4_RQnNiiXJcYPEgG3w,3,0,0,0
203,203,TbhyP24zYZqZ2VJZgu1wrg,0BJK4_RQnNiiXJcYPEgG3w,3,5,3,4
204,204,tkAmyGYk3iE3goHmAEOV4Q,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
205,205,4dNn51tG71GV55SwwBxaBg,0BJK4_RQnNiiXJcYPEgG3w,3,2,1,1
206,206,0O5N7T7ZdvhNu--sI4Y5XQ,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
207,207,FvbGyxLS58q9ezyNdjzxqw,0BJK4_RQnNiiXJcYPEgG3w,4,0,1,0
208,208,y28lmVXUfi9rDGBorJqb8A,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
209,209,cg0-lurHuNWkX0Lr_QTacw,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
210,210,6UPWBTOfNoaGRahqTX14Ag,0BJK4_RQnNiiXJcYPEgG3w,3,0,0,0
211,211,Iu1KZwQUE_pTJp_wlY5hpQ,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,1
212,212,k7tSOhkjxuJ1EMkeaBbXyA,0BJK4_RQnNiiXJcYPEgG3w,2,1,0,0
213,213,VHc1yqBhsE-l3JQFXuWydQ,0BJK4_RQnNiiXJcYPEgG3w,2,0,0,0
214,214,HYQq67HQ4b5W56e6lcarbQ,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
215,215,M2fjARghKjaHWh7psiDXPg,0BJK4_RQnNiiXJcYPEgG3w,5,1,0,1
216,216,ZoVgF9JG3Rzd1XUit2Cmmg,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
217,217,99p8Y9nbXRBN3FaRPqPKmw,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
218,218,XDKatafJP6HeHQR5aqDWOA,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
219,219,cdqUGCBJtbdpkMA2sbfpKA,0BJK4_RQnNiiXJcYPEgG3w,5,4,1,3
220,220,qJZu-M8-4izrnXntPEMrXA,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
221,221,yHakD_sjdUAzLQWLslmUfg,0BJK4_RQnNiiXJcYPEgG3w,3,1,2,1
222,222,CmWojBqIpOOHxNuUePl7hQ,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
223,223,zMovEV1bOQLE_zJb8_e3Bg,0BJK4_RQnNiiXJcYPEgG3w,1,0,0,1
224,224,7BT9J9gmv3GsesY7Ju7pXA,0BJK4_RQnNiiXJcYPEgG3w,1,0,0,0
225,225,wHkA2GhVdSZcuOa9pjtgeA,0BJK4_RQnNiiXJcYPEgG3w,3,0,0,0
226,226,#NAME?,0BJK4_RQnNiiXJcYPEgG3w,3,0,0,0
227,227,Kl6jNDAE7PG_VVQafIptxQ,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
228,228,ePm4_tZ7cagDbRQU2l-bYg,0BJK4_RQnNiiXJcYPEgG3w,5,1,0,0
229,229,sya4uhCAC9cCakEUjyEfKw,0BJK4_RQnNiiXJcYPEgG3w,4,1,1,1
230,230,SuDCcU9EcNzQDYYhrGu1sw,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
231,231,pmeGrUv6S22pf38FTRYCzg,0BJK4_RQnNiiXJcYPEgG3w,3,0,0,0
232,232,vwmVeAovQ-xIudHx0qIv2w,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
233,233,0jsxTb-wHH68OWI8Ia6xuA,0BJK4_RQnNiiXJcYPEgG3w,3,0,0,0
234,234,IDFujizyseGBOiwDROlJEw,0BJK4_RQnNiiXJcYPEgG3w,4,0,0,0
235,235,aiXFgj1oU-I3idtifgLRpA,0BJK4_RQnNiiXJcYPEgG3w,4,3,0,1
236,236,dx_p9_-zCM0YRA39fvV6WQ,0BJK4_RQnNiiXJcYPEgG3w,5,3,1,1
237,237,gPK2AKr-UA_7hZus80SSng,0BJK4_RQnNiiXJcYPEgG3w,3,1,0,2
238,238,g4xr80W9n71ZrFV2JYzJ5g,0BJK4_RQnNiiXJcYPEgG3w,2,0,0,0
239,239,7uIZN7J9b1VV-u-XeUCuDg,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
240,240,ZS_SiPpiLocKfYNjRZTeww,0BJK4_RQnNiiXJcYPEgG3w,4,2,3,3
241,241,73DZUFYAXuycbJ_eEAox1Q,0BJK4_RQnNiiXJcYPEgG3w,4,21,14,19
242,242,XIkPvspzRAoEp7McGt9rdw,0BJK4_RQnNiiXJcYPEgG3w,4,3,2,2
243,243,CdCCSyHeEtAZYageFjkFPQ,0BJK4_RQnNiiXJcYPEgG3w,5,0,0,0
244,244,Zpk_NpxZ767LP3Zlw87y9w,0BJK4_RQnNiiXJcYPEgG3w,4,1,0,0
245,245,tWBLn4k1M7PLBtAtwAg73g,0BJK4_RQnNiiXJcYPEgG3w,3,0,0,1
